ID,Región,Comuna,Especie,Altura_m,Diametro_cm,Densidad_Arboles_ha,Carbono_Almacenado_tn,Indice_de_Vigor,Edad_Aprox_Anios,Cobertura_Copa_%
19,Magallanes y de la Antártica Chilena,Valdivia,Fitzroya cupressoides,13.059510464501995,25.923223884255133,594,53.79123836366004,0.265895242027262,39,83.93183593093592
20,Aysén,Punta Arenas,Nothofagus pumilio,8.05507431913771,11.664904560081542,460,43.26496131869215,0.4384398449615252,108,72.02526031043008
21,Los Lagos,Valdivia,Nothofagus dombeyi,11.543127512930322,24.96635906749492,437,69.82188163814006,0.0302932264796256,37,55.95427864025156
22,Los Rios,Coyhaique,Laurelia sempervirens,20.225672741921343,21.353978588820063,166,33.280618955305584,0.770642527014762,37,65.65121725751487
23,Los Lagos,Valdivia,Laurelia sempervirens,19.11654726052092,15.056536924985998,109,34.962255956539195,0.6218245645904158,82,83.94530840059433
24,Magallane,Valdivia,Laurelia sempervirens,9.750603795536229,39.13092030529779,148,44.606446729447846,0.6013596072783542,42,66.99152227783372
25,Magallanes y de la Antártica Chilena,Coihaique,Nothofagus dombeyi,19.791024586471167,32.5564770385043,586,36.11534427479242,0.546049931882766,14,39.46996060677872
26,Los Lagos,Coyhaique,Laurelia sempervirens,5.167803654319755,37.95855629654046,210,46.63428480519632,0.5903131723250685,61,67.04225618312773
27,Loslagos,Coyhaique,Nothofagus dombeyi,27.145721610060768,24.68346175332505,420,42.0817174082643,0.9346519527072206,32,13.22225301883103
28,Los Lagoss,Validvia,Laurelia sempervirens,21.50156596067796,29.29283524219917,318,51.32618566552719,0.0085692108107406,82,40.9132449464465
29,Magallanes y de la Antártica Chilena,Valdivia,Fitzroya cupressoides,12.201340439299466,45.94640641216314,156,65.12108041736231,0.0477997096577492,104,42.50584254764634
30,Magallane,Coihaique,Fitzroya cupressoides,16.91213280867555,29.972798048908874,382,51.06919408526412,0.1914934099308023,42,23.34705875366677
31,Losrios,Punta Arenas,Nothofagus dombeyi,7.995403359454355,38.079565491594416,558,52.43531841224716,0.1673013799931501,20,11.846838444141614
32,Los Ríos,Punta Arenas,Fitzroya cupressoides,15.302213949629069,23.825436972832712,212,34.1401609578185,0.1811944594691826,25,20.670498931019424
33,Magallanes y de la Antártica Chilena,Puertomontt,Nothofagus dombeyi,14.081684837487666,37.1601734336426,232,47.989106692773056,0.6719438858486502,96,62.36971966376441
34,Los Lagos,Coihaique,Fitzroya cupressoides,10.826183053038022,24.510806401946983,170,43.67368292585904,0.4594833010501653,101,74.183105309095
35,Los Lagos,Pto Montt,Fitzroya cupressoides,12.657212568370705,11.035776239403276,182,60.22461445460728,0.9917788783346932,10,89.05627941815793
36,Los Ríos,Punta Arenas,Nothofagus dombeyi,12.165062620952863,29.924171120789584,156,38.53149525195954,0.2268859148029448,45,37.70908024867954
37,Magallanes y de la Antártica Chilena,Puerto Montt,Nothofagus pumilio,9.341316403411824,25.29696857396038,475,37.0901661123315,0.3108301010274946,19,57.95033778088814
38,Los Ríos,Coyhaique,Fitzroya cupressoides,10.709263770516683,13.752186406027375,448,54.76143795721023,0.984240716801649,112,84.97159734520976
39,Los Ríos,Coyhaique,Laurelia sempervirens,7.790777870001437,31.914928516731734,370,79.70154581559409,0.831758140802247,7,23.36334250705221
40,Aysén,Coyaique,Nothofagus pumilio,19.28665382780309,21.064735150466785,582,47.36077064038005,0.4697992206785327,47,67.41164690741941
41,Aysén,Valdivia,Nothofagus dombeyi,10.339436267718655,60.92641278462682,210,52.52312609345748,0.5545968855459897,51,70.39829865193306
42,Aysenn,Puertomontt,Nothofagus pumilio,8.889895642149229,15.355577665863326,456,64.22032772532178,0.8431779206528405,103,17.118042869547068
43,Loslagos,Punta Arenas,Nothofagus obliqua,19.207523399079985,17.870750575498604,474,57.64855847922908,0.480980246046328,18,78.89995081464521
44,Magallane,Punta Arenas,Nothofagus obliqua,16.84810177169665,38.69551106647791,175,57.74719220573296,0.2060237235820843,70,75.0484037688675
45,Magallane,Pta. Arenas,Fitzroya cupressoides,19.022505279744795,28.66978119359911,257,48.57211322122993,0.8284445385543855,33,12.672240526194756
46,Magalanes,Valdivia,Fitzroya cupressoides,19.580416120983276,38.49202309262218,119,48.863972258326086,0.5377724912756434,8,17.28675319040412
47,Magallanes y de la Antártica Chilena,Valdivia,Laurelia sempervirens,24.68727448469212,33.80391053897901,520,38.67277193410207,0.1530425971638213,30,13.930151511348186
48,Aysén,Coyhaique,Nothofagus pumilio,14.219801166534078,24.17692872068818,230,57.29559881452074,0.5055858311843976,119,36.77948254394898
49,Los Lagos,Punta Arenas,Nothofagus obliqua,7.711961605022463,16.209076069203682,428,56.95331644997964,0.4132033805968588,16,50.743119254394095
50,Los Lagoss,Valdivia,Fitzroya cupressoides,16.355189003810626,40.71083080728032,221,60.75746791540704,0.876842531881758,6,52.5878182363703
51,Aysén,Coyhaique,Nothofagus pumilio,11.654976885600911,17.115498144107004,140,42.67843294169982,0.1260554313607034,21,31.41334078155541
52,Los Lagos,Pta Arenas,Fitzroya cupressoides,10.212473583422296,35.58905961164161,266,62.45201599067909,0.8752098044480255,39,82.92775092482194
53,Aysenn,Pto. Montt,Fitzroya cupressoides,15.499625861086203,39.18998757256848,509,67.00002182221905,0.5122110168102847,14,39.46102318975306
54,Magallanes y de la Antártica Chilena,Coyaique,Nothofagus obliqua,19.328763665047948,28.730821959700396,229,31.790628225856093,0.4043644299811476,116,13.6440124772282
55,Aysén,Valdivia,Nothofagus obliqua,10.820025792018583,26.95852464312197,122,45.54691130963891,0.1619671844029403,90,34.01816892331091
56,Magallanes y de la Antártica Chilena,Valdivia,Fitzroya cupressoides,21.371940436658598,20.1627389533898,378,67.62535372941258,0.7008179626386793,109,52.48875380353244
57,Magallanes y de la Antártica Chilena,Coyhaique,Nothofagus dombeyi,10.05193020498592,34.62742716704302,350,40.25666450220672,0.9268067091100404,47,42.65774580705856
58,Losrios,Coihaique,Fitzroya cupressoides,13.780483893372685,-0.4592883108161203,568,57.9314379077501,0.3753773538993198,25,31.90740152794073
59,Aysenn,Valdivia,Fitzroya cupressoides,16.93153940890434,37.1572633905681,499,50.12864003003647,0.2415850006708334,19,20.50585998114539
60,Losrios,Puertomontt,Laurelia sempervirens,13.060503956579709,31.19476340975714,108,54.96318982135263,0.554866916999157,39,75.53316000769838
61,Aysén,Punta Arenas,Laurelia sempervirens,6.1199883053073165,27.771843002803177,112,50.58584454038317,0.7961859484338702,116,89.69161936993535
62,Aysén,Pto. Montt,Laurelia sempervirens,19.637037458944025,32.42302274663847,511,61.19256476846408,0.003767694550533,89,36.36337068191057
63,Losrios,Coyhaique,Nothofagus dombeyi,11.882678298219863,16.264436080678713,510,34.67724296204183,0.6313774363954292,89,40.52968353412831
64,Losrios,Puerto Montt,Nothofagus dombeyi,18.724492246968463,5.8700731192411695,406,36.300151338165705,0.5965160006986309,89,59.443001974156566
65,Aysén,Valdivia,Fitzroya cupressoides,8.679279324861689,34.68575069953962,419,71.96770325400286,0.31815218580416,64,67.47531797884331
66,Loslagos,Coihaique,Laurelia sempervirens,9.53281708951794,43.165461721846896,151,81.50544919977978,0.4514230036049703,48,41.3623627842873
67,Magallane,Pta Arenas,Nothofagus dombeyi,19.312167047776786,12.605980280632629,308,49.91870842060457,0.2469632241618209,100,82.39436135854521
68,Los Ríos,Valdivia,Nothofagus obliqua,16.70254046371012,19.47519923003587,137,75.72899063227564,0.7898857379518428,9,54.80031913831347
69,Magallanes y de la Antártica Chilena,Valdivia,Fitzroya cupressoides,12.807071446576618,37.52324893027437,199,38.42338029479716,0.6345349333661077,107,46.03120611247448
70,Los Lagos,Punta Arenas,Nothofagus pumilio,16.775157990854186,33.588897599468524,292,42.02621174771064,0.5327116220389853,77,61.73382025279241
71,Los Lagos,Punta Arenas,Fitzroya cupressoides,10.22980432227821,59.63108456306708,501,71.86231267618058,0.3925261984178272,22,86.22430785993386
72,Los Lagos,Pto. Montt,Nothofagus pumilio,15.551295587444546,40.756574688258986,290,62.06159792935038,0.2913843860207321,25,73.56418355373644
73,Losrios,Coyaique,Laurelia sempervirens,15.642769616950329,38.35424471893049,150,74.09640646898387,0.8227364860434314,76,13.201050442809947
74,Loslagos,Pta. Arenas,Nothofagus pumilio,13.131091974044857,22.36211300005117,492,57.028336535885074,0.451407670433569,112,36.58479285919677
75,Losrios,Pta Arenas,Laurelia sempervirens,10.823571472046208,35.248057963906824,240,34.81180885228587,0.5014474198416727,102,47.643574796097816
76,Los Lagoss,Coyhaique,Nothofagus obliqua,15.351242891073968,44.9541366247537,267,53.35366036254015,0.5208287305407416,78,35.16140577672842
77,Magallanes y de la Antártica Chilena,Punta Arenas,Nothofagus pumilio,14.725094283495508,28.356092349270945,410,68.03003807702015,0.4483669354315764,55,66.01500486643653
78,Magallane,Pta. Arenas,Fitzroya cupressoides,12.670889605401957,28.82785426262868,208,48.00897196030742,0.2560884262384237,45,76.10153198900649
79,Aysén,Puertomontt,Laurelia sempervirens,9.83092764909625,31.413535266069328,306,45.70349722241421,0.120340440243052,28,68.50760761482172
80,Magalanes,Valdivia,Fitzroya cupressoides,15.062385246677335,23.35501318527765,526,57.25780104446184,0.0985372671677407,108,89.14666294626203
81,Aysén,Valdivia,Nothofagus dombeyi,12.68338817581697,32.68963514123314,399,41.60740601682208,0.7574625233406886,28,31.803811831442328
82,Magallane,Valdivia,Laurelia sempervirens,9.826711897815333,32.439721382756815,209,54.43250724670251,0.2235278223015113,100,79.99915960195372
83,Los Ríos,Validvia,Nothofagus pumilio,15.217649053790556,44.799864131806565,295,50.95252197007185,0.0556728149539755,101,71.32981321395889
84,Magallanes y de la Antártica Chilena,Pta. Arenas,Laurelia sempervirens,23.04152736027693,28.10607557489297,516,42.643783088773695,0.797517406695886,42,38.97430060465169
85,Aysén,Coihaique,Fitzroya cupressoides,13.165861670464611,36.74728546063506,251,64.71105847801121,0.154061652860648,48,68.72996349255749
86,Aysén,Coyhaique,Nothofagus obliqua,22.488882706210116,28.404347180079487,519,59.68981908426161,0.625146091733354,61,18.32607651345976
87,Los Lagos,Puerto Montt,Laurelia sempervirens,25.57165857365048,36.39759441782245,342,44.69494123570061,0.3386432714478632,119,73.1466785872442
88,Los Rios,Pto. Montt,Nothofagus pumilio,10.232905488111625,27.499415442081023,227,49.775581025898894,0.1264802566913094,63,52.58644820696821
89,Magalanes,Pta. Arenas,Nothofagus dombeyi,15.04522104099482,35.73472986945206,204,45.93086600228244,0.4144809792543599,117,33.38321381674025
90,Los Lagos,Coihaique,Nothofagus obliqua,25.518659589081548,37.28235829088448,109,40.420285411355714,0.0148088611326251,38,62.462184142734415
91,Magallanes y de la Antártica Chilena,Coyhaique,Nothofagus dombeyi,14.39460019295478,19.33343866942191,455,24.525954913894463,0.8410449825125603,79,61.32959989715272
92,Magallanes y de la Antártica Chilena,Valdivia,Laurelia sempervirens,15.184060728827,41.02375420670601,247,42.74258383465892,0.5134979613418572,99,26.758897817567977
93,Los Lagoss,Punta Arenas,Fitzroya cupressoides,6.649972628125541,28.335226130519786,588,40.63958752526566,0.1391600109079618,86,12.43179318492209
94,Los Lagos,Punta Arenas,Fitzroya cupressoides,12.34169049840166,25.302033053738505,464,51.72336061753038,0.2369803183889847,27,44.68980695213391
95,Los Lagoss,Valdivia,Nothofagus pumilio,17.777943423344684,22.899918883299783,463,56.61048202292368,0.4479751921385266,90,55.5609495475537
96,Los Lagos,Pta Arenas,Fitzroya cupressoides,27.14641321475625,32.98200278098241,558,37.96722995295673,0.1888693828155486,47,80.12842226964787
97,Loslagos,Pta. Arenas,Nothofagus obliqua,14.019965832641548,29.95378311096478,239,55.60246042590508,0.2685991615010858,86,84.25734365180756
98,Magallanes y de la Antártica Chilena,Puerto Montt,Fitzroya cupressoides,6.686868388743225,33.70807185541686,289,35.65631325699988,0.5343855642352632,44,52.30441745254132
99,Los Lagos,Coihaique,Nothofagus pumilio,7.973754046133456,33.90220784318479,501,48.12061226542317,0.8326090130383855,51,70.30427870148358
100,Los Rios,Punta Arenas,Laurelia sempervirens,14.821051570308516,36.08584645350178,193,40.9637134900875,0.4018396856899208,45,45.14426178623975
101,Aysén,Puertomontt,Laurelia sempervirens,20.886033990261247,57.76284116153058,591,61.192604571185655,0.7169752735535483,51,69.68657252583144
102,Los Lagoss,Coyhaique,Fitzroya cupressoides,18.186768414376974,30.396917573318508,595,51.751596499918975,0.8766842134606484,107,26.38412199513336
103,Loslagos,Valdivia,Nothofagus dombeyi,17.30127931755063,22.654266134274263,328,48.34748111252331,0.2163009402961619,24,39.68517878428251
104,Magallanes y de la Antártica Chilena,Pto. Montt,Laurelia sempervirens,21.54572193458798,9.80186667661766,162,40.62125359827672,0.8071919704021601,81,60.73823990508919
105,Los Lagos,Puertomontt,Fitzroya cupressoides,11.398854562405242,18.046832018094136,439,45.06738037435191,0.7574021983310274,113,11.452637248566306
106,Loslagos,Coyaique,Nothofagus pumilio,15.095473599787828,42.35348650752911,124,77.43591218489077,0.356937297948135,69,67.79690482711632
107,Los Lagoss,Valdivia,Fitzroya cupressoides,12.398089398988024,37.19924506773107,367,42.48373818916181,0.9895199595008672,72,76.84284010145335
108,Magalanes,Pto Montt,Laurelia sempervirens,13.642721322739632,16.500139534850064,504,57.19110376394725,0.262572371435957,28,41.93133288751611
109,Los Lagos,Punta Arenas,Nothofagus pumilio,9.968653228372574,54.642124409992206,380,48.31030524668467,0.2548032660316955,104,45.83539337417314
110,Aysenn,Pta Arenas,Fitzroya cupressoides,13.28011964283102,33.267644776615086,110,56.76237971861057,0.7722591646531978,40,78.10257697732249
111,Magallane,Pta. Arenas,Nothofagus obliqua,14.861422168773004,34.60316719880339,419,62.55463809039858,0.4346573180510842,49,72.05237082608267
112,Aysén,Valdivia,Nothofagus pumilio,13.142642500692247,52.4422517993608,300,44.69032260018385,0.3307949947810432,6,33.05195912267
113,Magallanes y de la Antártica Chilena,Puerto Montt,Nothofagus obliqua,14.194692484930991,47.39455720828213,225,60.64660139667684,0.1786628053391029,32,35.91808852492312
114,Los Lagos,Pta. Arenas,Nothofagus dombeyi,17.02520271718593,37.811374758321605,405,91.34959215508758,0.7653324309345441,30,64.31025859124773
115,Aysén,Valdivia,Nothofagus pumilio,21.193478845322,38.29213940826256,289,58.513099912875575,0.786321806136077,27,55.055847395852894
116,Magalanes,Pta. Arenas,Nothofagus obliqua,21.55577934056299,39.22785096170867,188,74.20372196899694,0.5665640032301404,83,22.978365687719755
117,Los Rios,Coihaique,Laurelia sempervirens,18.807108836984963,27.59032868287984,454,57.215690001599214,0.9573136131913728,40,34.794392738333315
118,Los Lagoss,Pto. Montt,Laurelia sempervirens,8.70009260780842,32.86792897544197,215,36.020575667037406,0.3181632704226542,95,81.99866215029233
119,Magallanes y de la Antártica Chilena,Pto Montt,Nothofagus dombeyi,13.197950072150732,35.74320494074713,451,54.13540995879475,0.2196190454793372,10,65.05395493778107
120,Losrios,Valdivia,Nothofagus pumilio,13.628574846436992,28.73217405621588,276,45.04424305685104,0.6774667689344619,39,88.87794541484156
121,Magalanes,Validvia,Nothofagus pumilio,11.714250846057178,20.34580490284447,113,41.0608895402364,0.7584086407997047,107,71.36100239846155
122,Losrios,Puertomontt,Nothofagus pumilio,16.711755895148034,27.33869598691332,356,48.91122184396571,0.2249059705518223,42,85.35795457148721
123,Los Lagos,Punta Arenas,Nothofagus dombeyi,7.028357533592711,20.120673920940792,308,47.67874881906872,0.0766107642611132,39,27.295085909638036
124,Aysén,Punta Arenas,Nothofagus pumilio,23.46783234764146,30.643725708722307,380,34.10112641310708,0.810516486586372,104,71.71878998535405
125,Los Ríos,Coyaique,Laurelia sempervirens,20.97610335760857,12.195428479934868,542,90.62692377079688,0.9765019736460124,78,11.617401611823794
126,Magallanes y de la Antártica Chilena,Punta Arenas,Nothofagus obliqua,17.391011309508787,33.41038510507548,427,62.11806371708296,0.6446722860722843,98,63.66080173692272
127,Los Lagos,Valdivia,Laurelia sempervirens,14.689453350399075,13.687255044318352,424,53.66585368763173,0.2778669001438941,57,47.54258224961931
128,Los Ríos,Valdivia,Laurelia sempervirens,21.14419647536277,25.96526940006995,488,51.3482016687646,0.996672608552792,109,37.74080575360549
129,Magallanes y de la Antártica Chilena,Pta Arenas,Nothofagus obliqua,18.447024683901336,35.04101074480846,204,68.03522929432845,0.8932666362670775,42,78.99234818344712
130,Magallanes y de la Antártica Chilena,Valdivia,Laurelia sempervirens,20.533188921090463,37.9114671151253,582,81.1335554346424,0.5133806462802939,97,78.34141541260246
131,Magallanes y de la Antártica Chilena,Pto. Montt,Nothofagus dombeyi,14.7047395887008,36.72359208883501,246,60.27628058018862,0.8253212848418338,63,11.784136391891488
132,Los Rios,Pto Montt,Nothofagus obliqua,23.946565429320835,33.197339144738805,378,51.81789057176481,0.8158205232629668,47,58.76040979595448
133,Losrios,Punta Arenas,Laurelia sempervirens,20.83443937844928,18.80726684752508,108,72.08966107966425,0.9347989696734996,107,39.42657794567651
134,Los Ríos,Puerto Montt,Fitzroya cupressoides,17.54768147717966,39.80608354866757,217,52.13538864403792,0.8409238437734601,118,43.25288012003593
135,Aysenn,Pto. Montt,Laurelia sempervirens,21.279864602155776,19.03598635494889,193,56.52972214437652,0.6436792359571645,8,76.56325913750207
136,Los Rios,Coyhaique,Nothofagus dombeyi,12.90419029083014,40.94575820454325,533,65.01516380047757,0.6093037189565074,9,34.787181722214264
137,Losrios,Coyhaique,Nothofagus pumilio,9.162498203264867,36.277047574817054,243,44.2028129318861,0.4673572883316117,72,85.4439048510096
138,Los Rios,Puerto Montt,Laurelia sempervirens,16.607752565237377,43.58901514739538,388,18.86248403891154,0.6264856399707573,104,24.370706109771263
139,Aysén,Pta Arenas,Nothofagus pumilio,14.714547770932656,30.24868484016297,485,43.47379662004972,0.7952165865303827,49,63.01779386945422
140,Los Rios,Coihaique,Fitzroya cupressoides,14.011413288611855,21.81235892788979,113,61.59501394069079,0.9690376263025532,84,63.76840536110117
141,Magallane,Validvia,Laurelia sempervirens,21.081560196747017,17.0734747584075,593,60.53826346577268,0.4672873581821201,29,30.17561291423345
142,Los Ríos,Valdivia,Nothofagus obliqua,15.835696066053153,18.18420665427074,356,70.14005164118902,0.5736532029887571,82,35.98004871737616
143,Magallane,Validvia,Nothofagus pumilio,16.31784536767742,13.63225251392987,445,44.04753449195732,0.4448054950587817,15,76.78387940639523
144,Magallanes y de la Antártica Chilena,Pta Arenas,Fitzroya cupressoides,13.36473720622952,39.42002916936565,285,73.71387864420146,0.668488620983404,33,70.9444203963962
145,Magallane,Puertomontt,Nothofagus obliqua,19.40561569639763,40.674169530324,444,52.77601745677941,0.6299205040612595,38,36.32767042518076
146,Aysén,Validvia,Nothofagus obliqua,18.5093789065396,35.53699925256848,499,59.066197438455205,0.0178337901936233,90,52.71652375479471
147,Aysén,Punta Arenas,Nothofagus obliqua,19.368298384471466,29.66959087926721,306,63.554191374414586,0.5411615591006584,18,14.934423700247637
148,Aysén,Coihaique,Nothofagus obliqua,12.513680166819109,50.60959436462512,445,29.27501559659454,0.088486895699014,28,26.69967059189034
149,Los Ríos,Puerto Montt,Laurelia sempervirens,21.520442300234976,29.01851517035992,530,34.92654211059613,0.0263836180055383,63,48.86564470883193
150,Magallanes y de la Antártica Chilena,Coyhaique,Laurelia sempervirens,24.193842118831867,32.20916808143893,271,34.42864224399131,0.7911971620846983,43,16.877898822336928
151,Aysenn,Pta Arenas,Laurelia sempervirens,19.210191986623528,29.521484866708807,563,66.08325777273228,0.2586498621593005,30,77.466588391355
152,Aysenn,Valdivia,Fitzroya cupressoides,10.953558563778548,26.616919335365523,369,45.41815082391157,0.3406550772872992,47,67.44049680861183
153,Losrios,Valdivia,Fitzroya cupressoides,10.988988578818994,36.30974489831098,320,80.41372959987078,0.0640845876040662,40,85.49069365187958
154,Aysén,Punta Arenas,Fitzroya cupressoides,13.12311522203456,23.66503310795477,251,50.05063962338389,0.1795002604943506,43,65.47735247712217
155,Los Rios,Valdivia,Nothofagus dombeyi,12.178113929907395,22.9942217348536,210,27.92939227877748,0.7656048182577924,65,85.23210978097484
156,Los Lagoss,Puertomontt,Fitzroya cupressoides,14.644536871563677,36.81469385409354,282,39.91373733942224,0.4935308302326209,20,54.3610044552772
157,Aysenn,Pta Arenas,Laurelia sempervirens,18.16221233183924,25.023916334376608,498,51.76064544828992,0.8806684625501484,106,58.01748888495755
158,Loslagos,Coyhaique,Laurelia sempervirens,16.44976220374924,31.334820280751792,438,57.72784796290219,0.3972421314668352,63,88.15768437010087
159,Los Ríos,Pta Arenas,Nothofagus dombeyi,16.011445281931444,26.58671880236473,171,35.2274340787644,0.2687007357542682,100,61.37033174914083
160,Magallane,Puertomontt,Nothofagus dombeyi,13.793986250999271,29.88448701773352,517,58.527211577094064,0.3475998144586509,10,12.462925508859728
161,Aysén,Puerto Montt,Fitzroya cupressoides,14.630770364177254,23.267108815333764,485,62.53314135568935,0.7127717935169045,102,67.90422213044187
162,Los Rios,Pta. Arenas,Nothofagus pumilio,18.98287753764501,23.594112472509067,382,40.385786006670045,0.555005672334486,60,82.43749537099325
163,Magallanes y de la Antártica Chilena,Pta Arenas,Nothofagus dombeyi,4.940209862500925,21.80267878189716,173,79.53735818088721,0.904191207552428,12,73.64641998354614
164,Magallanes y de la Antártica Chilena,Valdivia,Nothofagus obliqua,14.943047957606344,38.433301098614514,454,42.01011464974165,0.6021687693888833,98,56.70666181003381
165,Los Lagoss,Puertomontt,Laurelia sempervirens,16.439937974636624,31.718848342513294,314,35.00182888676685,0.4930182084815031,31,63.7042810474813
166,Los Rios,Punta Arenas,Nothofagus obliqua,18.917915342736464,39.185508237936645,596,27.06166227910189,0.7857527238867329,75,89.21534314013374
167,Magallane,Punta Arenas,Laurelia sempervirens,9.94977030358088,40.25386564543962,427,68.30961048038245,0.9475338507334452,31,17.252967080747066
168,Aysén,Puerto Montt,Laurelia sempervirens,9.685451587734406,25.400856728643262,575,50.34324316018854,0.3558459112449705,93,63.37958629065916
169,Aysén,Pta Arenas,Nothofagus dombeyi,17.91977497439067,38.81584984388564,122,42.81071015803416,0.2498762101654776,50,32.671815565647506
170,Los Lagos,Valdivia,Nothofagus dombeyi,5.47773879871542,29.85879278066567,167,27.88792346852259,0.6162173962941392,45,61.2072317268936
171,Magallane,Pto. Montt,Nothofagus obliqua,21.660945553803927,28.41326494520748,497,44.16123614649555,0.498872821153881,83,58.60988607071511
172,Losrios,Valdivia,Laurelia sempervirens,16.132959957464053,42.52367096660775,546,85.72168081514167,0.9891855748647834,29,22.276546568652968
173,Aysenn,Valdivia,Nothofagus obliqua,22.793606064217187,35.53768462815432,472,17.83268744358324,0.4623617841477333,90,26.53973165921913
174,Magallanes y de la Antártica Chilena,Valdivia,Nothofagus pumilio,9.564638117152436,26.475757449362725,461,40.52512398451175,0.0743315513603458,22,59.73036624345709
175,Magallane,Valdivia,Nothofagus obliqua,12.818202656408795,34.88793315526648,192,76.89175955063315,0.977369060777636,16,20.25839578430193
176,Los Lagos,Pto Montt,Fitzroya cupressoides,2.960658365365571,17.342873478304107,420,68.73459570604284,0.8435869455935401,91,31.214470010425828
177,Aysenn,Valdivia,Nothofagus obliqua,11.021551185023618,32.47312981139617,423,41.440614975780775,0.1782501439579633,55,76.8196438190402
178,Aysén,Validvia,Fitzroya cupressoides,14.080765596390604,15.004084491418164,483,53.05392645402959,0.9046052531128692,113,36.16732048013109
179,Los Rios,Punta Arenas,Fitzroya cupressoides,5.186462099957817,20.15600374131817,162,56.94406107041614,0.3406668208217446,43,49.04481250157304
180,Aysén,Pto Montt,Fitzroya cupressoides,13.026865939008005,35.84639698269119,323,52.00757872710901,0.3771119845344445,93,85.29122681166723
181,Los Rios,Pto Montt,Nothofagus pumilio,5.063299115698779,3.297540025731898,324,76.76675314413764,0.9063914823621592,14,28.171927106955703
182,Aysenn,Coyaique,Nothofagus obliqua,13.712699075442874,48.02511859074755,468,55.0963130818693,0.5301155650353153,98,41.17008138864083
183,Loslagos,Pto Montt,Nothofagus obliqua,20.735559635541183,38.34492720704601,445,67.03274436444556,0.1377629293985196,78,58.51662204348365
184,Aysenn,Pto Montt,Nothofagus pumilio,14.825101249429387,11.61466877510262,436,52.72398153643423,0.369056159341804,102,70.42711436031777
185,Los Ríos,Coyhaique,Laurelia sempervirens,23.291036863059013,53.9849860669323,202,19.51416780910302,0.7220974462678807,114,82.13227093701641
186,Los Ríos,Pto. Montt,Nothofagus dombeyi,18.93146281697305,56.74103892486018,314,32.11380869965275,0.1741841880680167,81,83.23783900588121
187,Los Lagos,Puertomontt,Nothofagus obliqua,21.740739243034856,28.19508341010261,291,35.22683226040963,0.5902311974063588,58,72.13120594980984
188,Aysenn,Puerto Montt,Nothofagus dombeyi,11.175273795608582,20.735109352997565,259,46.26071214085991,0.6952741329444169,33,28.266466927464837
189,Aysén,Pto. Montt,Nothofagus pumilio,11.054291858036988,46.86303574202864,471,81.17621358521586,0.3438535755425793,106,11.984746403405264
